EBio_CE_2018;v1.0.1;2025-07-31;Temps d'execution :;0.9secs
CODE_STATION;TYPO_NATIONALE;TG_BV;PERIODE_DEBUT;PERIODE_FIN;CODE_PAR;LIB_PAR;RESULTAT;EQR;CLASSE;CLASSE_NUM;COMMENTAIRES
01000602;P9-A;NON;2015;2015;5856;IndiceBioDiat;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;NON;2015;2015;2928;IBMR;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;NON;2015;2015;5910;MPCE phases A+B;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;NON;2015;2015;7613;Ind Invert Multimetrique;0.064;0.064;MAUVAIS;5;
01000602;P9-A;NON;2015;2015;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;NON;2015;2015;7036;Indice Poisson Riviere;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;NON;2015;2015;8353;Etat Biologique;NA;NA;MAUVAIS;5;
01000602;P9-A;NON;2016;2016;5856;IndiceBioDiat;15.1;0.824561403508772;BON;2;
01000602;P9-A;NON;2016;2016;2928;IBMR;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;NON;2016;2016;5910;MPCE phases A+B;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;NON;2016;2016;7613;Ind Invert Multimetrique;0.126;0.126;MAUVAIS;5;
01000602;P9-A;NON;2016;2016;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;NON;2016;2016;7036;Indice Poisson Riviere;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;NON;2016;2016;8353;Etat Biologique;NA;NA;MAUVAIS;5;
01000602;P9-A;NON;2017;2017;5856;IndiceBioDiat;12;0.64327485380117;MOYEN;3;
01000602;P9-A;NON;2017;2017;2928;IBMR;10.13;0.906893464637422;BON;2;
01000602;P9-A;NON;2017;2017;5910;MPCE phases A+B;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;NON;2017;2017;7613;Ind Invert Multimetrique;0.065;0.065;MAUVAIS;5;
01000602;P9-A;NON;2017;2017;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;NON;2017;2017;7036;Indice Poisson Riviere;67.736965;NA;MAUVAIS;5;
01000602;P9-A;NON;2017;2017;8353;Etat Biologique;NA;NA;MAUVAIS;5;
01000602;P9-A;NON;2018;2018;5856;IndiceBioDiat;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;NON;2018;2018;2928;IBMR;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;NON;2018;2018;5910;MPCE phases A+B;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;NON;2018;2018;7613;Ind Invert Multimetrique;0.202;0.202;MEDIOCRE;4;
01000602;P9-A;NON;2018;2018;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;NON;2018;2018;7036;Indice Poisson Riviere;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;NON;2018;2018;8353;Etat Biologique;NA;NA;MEDIOCRE;4;
01000602;P9-A;NON;2019;2019;5856;IndiceBioDiat;13.8;0.748538011695906;MOYEN;3;
01000602;P9-A;NON;2019;2019;2928;IBMR;10.48;0.93822739480752;TRES_BON;1;
01000602;P9-A;NON;2019;2019;5910;MPCE phases A+B;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;NON;2019;2019;7613;Ind Invert Multimetrique;0.182;0.182;MEDIOCRE;4;
01000602;P9-A;NON;2019;2019;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;NON;2019;2019;7036;Indice Poisson Riviere;26.802722;NA;MEDIOCRE;4;
01000602;P9-A;NON;2019;2019;8353;Etat Biologique;NA;NA;MEDIOCRE;4;
01000602;P9-A;NON;2020;2020;5856;IndiceBioDiat;15.2;0.830409356725146;BON;2;
01000602;P9-A;NON;2020;2020;2928;IBMR;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;NON;2020;2020;5910;MPCE phases A+B;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;NON;2020;2020;7613;Ind Invert Multimetrique;0.109;0.109;MAUVAIS;5;
01000602;P9-A;NON;2020;2020;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;NON;2020;2020;7036;Indice Poisson Riviere;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;NON;2020;2020;8353;Etat Biologique;NA;NA;MAUVAIS;5;
01000602;P9-A;NON;2021;2021;5856;IndiceBioDiat;14.7;0.801169590643275;BON;2;
01000602;P9-A;NON;2021;2021;2928;IBMR;11.25;1.00716204118174;TRES_BON;1;
01000602;P9-A;NON;2021;2021;5910;MPCE phases A+B;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;NON;2021;2021;7613;Ind Invert Multimetrique;0.021;0.021;MAUVAIS;5;
01000602;P9-A;NON;2021;2021;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;NON;2021;2021;7036;Indice Poisson Riviere;31.10015;NA;MEDIOCRE;4;
01000602;P9-A;NON;2021;2021;8353;Etat Biologique;NA;NA;MAUVAIS;5;
01000602;P9-A;NON;2022;2022;5856;IndiceBioDiat;14.2;0.771929824561403;MOYEN;3;
01000602;P9-A;NON;2022;2022;2928;IBMR;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;NON;2022;2022;5910;MPCE phases A+B;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;NON;2022;2022;7613;Ind Invert Multimetrique;0.3;0.3;MOYEN;3;
01000602;P9-A;NON;2022;2022;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;NON;2022;2022;7036;Indice Poisson Riviere;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;NON;2022;2022;8353;Etat Biologique;NA;NA;MOYEN;3;
01000602;P9-A;NON;2023;2023;5856;IndiceBioDiat;14.3;0.777777777777778;MOYEN;3;
01000602;P9-A;NON;2023;2023;2928;IBMR;11.7;1.04744852282901;TRES_BON;1;
01000602;P9-A;NON;2023;2023;5910;MPCE phases A+B;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;NON;2023;2023;7613;Ind Invert Multimetrique;0.014;0.014;MAUVAIS;5;
01000602;P9-A;NON;2023;2023;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;NON;2023;2023;7036;Indice Poisson Riviere;23.503508;NA;MOYEN;3;
01000602;P9-A;NON;2023;2023;8353;Etat Biologique;NA;NA;MAUVAIS;5;
01000605;P9-A;NON;2013;2013;5856;IndiceBioDiat;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2013;2013;2928;IBMR;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2013;2013;5910;MPCE phases A+B;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2013;2013;7613;Ind Invert Multimetrique;0.551;0.551;BON;2;
01000605;P9-A;NON;2013;2013;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2013;2013;7036;Indice Poisson Riviere;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2013;2013;8353;Etat Biologique;NA;NA;BON;2;
01000605;P9-A;NON;2014;2014;5856;IndiceBioDiat;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2014;2014;2928;IBMR;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2014;2014;5910;MPCE phases A+B;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2014;2014;7613;Ind Invert Multimetrique;0.677;0.677;TRES_BON;1;
01000605;P9-A;NON;2014;2014;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2014;2014;7036;Indice Poisson Riviere;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2014;2014;8353;Etat Biologique;NA;NA;TRES_BON;1;
01000605;P9-A;NON;2015;2015;5856;IndiceBioDiat;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2015;2015;2928;IBMR;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2015;2015;5910;MPCE phases A+B;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2015;2015;7613;Ind Invert Multimetrique;0.541;0.541;BON;2;
01000605;P9-A;NON;2015;2015;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2015;2015;7036;Indice Poisson Riviere;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2015;2015;8353;Etat Biologique;NA;NA;BON;2;
01000605;P9-A;NON;2016;2016;5856;IndiceBioDiat;15.6;0.853801169590643;BON;2;
01000605;P9-A;NON;2016;2016;2928;IBMR;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2016;2016;5910;MPCE phases A+B;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2016;2016;7613;Ind Invert Multimetrique;0.441;0.441;MOYEN;3;
01000605;P9-A;NON;2016;2016;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2016;2016;7036;Indice Poisson Riviere;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2016;2016;8353;Etat Biologique;NA;NA;MOYEN;3;
01000605;P9-A;NON;2017;2017;5856;IndiceBioDiat;15.3;0.83625730994152;BON;2;
01000605;P9-A;NON;2017;2017;2928;IBMR;9.38;0.839749328558639;BON;2;
01000605;P9-A;NON;2017;2017;5910;MPCE phases A+B;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2017;2017;7613;Ind Invert Multimetrique;0.593;0.593;BON;2;
01000605;P9-A;NON;2017;2017;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2017;2017;7036;Indice Poisson Riviere;30.438856;NA;MEDIOCRE;4;
01000605;P9-A;NON;2017;2017;8353;Etat Biologique;NA;NA;MEDIOCRE;4;
01000605;P9-A;NON;2018;2018;5856;IndiceBioDiat;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2018;2018;2928;IBMR;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2018;2018;5910;MPCE phases A+B;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2018;2018;7613;Ind Invert Multimetrique;0.858;0.858;TRES_BON;1;
01000605;P9-A;NON;2018;2018;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2018;2018;7036;Indice Poisson Riviere;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2018;2018;8353;Etat Biologique;NA;NA;TRES_BON;1;
01000605;P9-A;NON;2019;2019;5856;IndiceBioDiat;12.3;0.660818713450292;MOYEN;3;
01000605;P9-A;NON;2019;2019;2928;IBMR;9.23;0.826320501342883;BON;2;
01000605;P9-A;NON;2019;2019;5910;MPCE phases A+B;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2019;2019;7613;Ind Invert Multimetrique;0.256;0.256;MEDIOCRE;4;
01000605;P9-A;NON;2019;2019;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2019;2019;7036;Indice Poisson Riviere;22.578273;NA;MOYEN;3;
01000605;P9-A;NON;2019;2019;8353;Etat Biologique;NA;NA;MEDIOCRE;4;
01000605;P9-A;NON;2020;2020;5856;IndiceBioDiat;15.5;0.847953216374269;BON;2;
01000605;P9-A;NON;2020;2020;2928;IBMR;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2020;2020;5910;MPCE phases A+B;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2020;2020;7613;Ind Invert Multimetrique;0.643;0.643;BON;2;
01000605;P9-A;NON;2020;2020;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2020;2020;7036;Indice Poisson Riviere;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2020;2020;8353;Etat Biologique;NA;NA;BON;2;
01000605;P9-A;NON;2021;2021;5856;IndiceBioDiat;15.7;0.859649122807017;BON;2;
01000605;P9-A;NON;2021;2021;2928;IBMR;9.52;0.852282900626679;BON;2;
01000605;P9-A;NON;2021;2021;5910;MPCE phases A+B;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2021;2021;7613;Ind Invert Multimetrique;0.625;0.625;BON;2;
01000605;P9-A;NON;2021;2021;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2021;2021;7036;Indice Poisson Riviere;18.149365;NA;MOYEN;3;
01000605;P9-A;NON;2021;2021;8353;Etat Biologique;NA;NA;MOYEN;3;
01000605;P9-A;NON;2022;2022;5856;IndiceBioDiat;15.8;0.865497076023392;BON;2;
01000605;P9-A;NON;2022;2022;2928;IBMR;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2022;2022;5910;MPCE phases A+B;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2022;2022;7613;Ind Invert Multimetrique;0.813;0.813;TRES_BON;1;
01000605;P9-A;NON;2022;2022;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2022;2022;7036;Indice Poisson Riviere;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2022;2022;8353;Etat Biologique;NA;NA;BON;2;
01000605;P9-A;NON;2023;2023;5856;IndiceBioDiat;15;0.818713450292398;BON;2;
01000605;P9-A;NON;2023;2023;2928;IBMR;9.51;0.851387645478962;BON;2;
01000605;P9-A;NON;2023;2023;5910;MPCE phases A+B;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2023;2023;7613;Ind Invert Multimetrique;0.756;0.756;TRES_BON;1;
01000605;P9-A;NON;2023;2023;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000605;P9-A;NON;2023;2023;7036;Indice Poisson Riviere;21.864933;NA;MOYEN;3;
01000605;P9-A;NON;2023;2023;8353;Etat Biologique;NA;NA;MOYEN;3;
01000976;P9-A;NON;2016;2016;5856;IndiceBioDiat;16.8;0.923976608187134;BON;2;
01000976;P9-A;NON;2016;2016;2928;IBMR;12.64;1.13160250671441;TRES_BON;1;
01000976;P9-A;NON;2016;2016;5910;MPCE phases A+B;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000976;P9-A;NON;2016;2016;7613;Ind Invert Multimetrique;0.264;0.264;MEDIOCRE;4;
01000976;P9-A;NON;2016;2016;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000976;P9-A;NON;2016;2016;7036;Indice Poisson Riviere;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000976;P9-A;NON;2016;2016;8353;Etat Biologique;NA;NA;MEDIOCRE;4;
01000976;P9-A;NON;2017;2017;5856;IndiceBioDiat;15.5;0.847953216374269;BON;2;
01000976;P9-A;NON;2017;2017;2928;IBMR;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000976;P9-A;NON;2017;2017;5910;MPCE phases A+B;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000976;P9-A;NON;2017;2017;7613;Ind Invert Multimetrique;0.438;0.438;MOYEN;3;
01000976;P9-A;NON;2017;2017;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000976;P9-A;NON;2017;2017;7036;Indice Poisson Riviere;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000976;P9-A;NON;2017;2017;8353;Etat Biologique;NA;NA;MOYEN;3;
01000976;P9-A;NON;2018;2018;5856;IndiceBioDiat;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000976;P9-A;NON;2018;2018;2928;IBMR;11.83;1.05908683974933;TRES_BON;1;
01000976;P9-A;NON;2018;2018;5910;MPCE phases A+B;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000976;P9-A;NON;2018;2018;7613;Ind Invert Multimetrique;0.335;0.335;MOYEN;3;
01000976;P9-A;NON;2018;2018;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000976;P9-A;NON;2018;2018;7036;Indice Poisson Riviere;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000976;P9-A;NON;2018;2018;8353;Etat Biologique;NA;NA;MOYEN;3;
01000976;P9-A;NON;2019;2019;5856;IndiceBioDiat;15.5;0.847953216374269;BON;2;
01000976;P9-A;NON;2019;2019;2928;IBMR;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000976;P9-A;NON;2019;2019;5910;MPCE phases A+B;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000976;P9-A;NON;2019;2019;7613;Ind Invert Multimetrique;0.306;0.306;MOYEN;3;
01000976;P9-A;NON;2019;2019;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000976;P9-A;NON;2019;2019;7036;Indice Poisson Riviere;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000976;P9-A;NON;2019;2019;8353;Etat Biologique;NA;NA;MOYEN;3;
01000976;P9-A;NON;2020;2020;5856;IndiceBioDiat;13;0.701754385964912;MOYEN;3;
01000976;P9-A;NON;2020;2020;2928;IBMR;11.43;1.02327663384064;TRES_BON;1;
01000976;P9-A;NON;2020;2020;5910;MPCE phases A+B;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000976;P9-A;NON;2020;2020;7613;Ind Invert Multimetrique;0.152;0.152;MEDIOCRE;4;
01000976;P9-A;NON;2020;2020;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000976;P9-A;NON;2020;2020;7036;Indice Poisson Riviere;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000976;P9-A;NON;2020;2020;8353;Etat Biologique;NA;NA;MEDIOCRE;4;
01000976;P9-A;NON;2021;2021;5856;IndiceBioDiat;12.4;0.666666666666667;MOYEN;3;
01000976;P9-A;NON;2021;2021;2928;IBMR;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000976;P9-A;NON;2021;2021;5910;MPCE phases A+B;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000976;P9-A;NON;2021;2021;7613;Ind Invert Multimetrique;0.316;0.316;MOYEN;3;
01000976;P9-A;NON;2021;2021;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000976;P9-A;NON;2021;2021;7036;Indice Poisson Riviere;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000976;P9-A;NON;2021;2021;8353;Etat Biologique;NA;NA;MOYEN;3;
01000976;P9-A;NON;2022;2022;5856;IndiceBioDiat;13;0.701754385964912;MOYEN;3;
01000976;P9-A;NON;2022;2022;2928;IBMR;10.88;0.974037600716204;TRES_BON;1;
01000976;P9-A;NON;2022;2022;5910;MPCE phases A+B;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000976;P9-A;NON;2022;2022;7613;Ind Invert Multimetrique;0.352;0.352;MOYEN;3;
01000976;P9-A;NON;2022;2022;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000976;P9-A;NON;2022;2022;7036;Indice Poisson Riviere;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000976;P9-A;NON;2022;2022;8353;Etat Biologique;NA;NA;MOYEN;3;
01000976;P9-A;NON;2023;2023;5856;IndiceBioDiat;13;0.701754385964912;MOYEN;3;
01000976;P9-A;NON;2023;2023;2928;IBMR;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000976;P9-A;NON;2023;2023;5910;MPCE phases A+B;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000976;P9-A;NON;2023;2023;7613;Ind Invert Multimetrique;0.352;0.352;MOYEN;3;
01000976;P9-A;NON;2023;2023;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000976;P9-A;NON;2023;2023;7036;Indice Poisson Riviere;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
