CODE_STATION	TYPO_NATIONALE	TG_BV	PERIODE_DEBUT	PERIODE_FIN	geometry
01000217	M9-A	NON	2016	2016	c(616838.28, 7039571.9)
01000217	M9-A	NON	2017	2017	c(616838.28, 7039571.9)
01000217	M9-A	NON	2018	2018	c(616838.28, 7039571.9)
01000217	M9-A	NON	2019	2019	c(616838.28, 7039571.9)
01000217	M9-A	NON	2020	2020	c(616838.28, 7039571.9)
01000217	M9-A	NON	2021	2021	c(616838.28, 7039571.9)
01000217	M9-A	NON	2022	2022	c(616838.28, 7039571.9)
01000274	P9	NON	2015	2015	c(699757.79, 7020087.96)
01000274	P9	NON	2016	2016	c(699757.79, 7020087.96)
01000274	P9	NON	2017	2017	c(699757.79, 7020087.96)
01000274	P9	NON	2018	2018	c(699757.79, 7020087.96)
01000274	P9	NON	2019	2019	c(699757.79, 7020087.96)
01000274	P9	NON	2020	2020	c(699757.79, 7020087.96)
01000274	P9	NON	2021	2021	c(699757.79, 7020087.96)
01000274	P9	NON	2022	2022	c(699757.79, 7020087.96)
01000274	P9	NON	2023	2023	c(699757.79, 7020087.96)
01000274	P9	NON	2024	2024	c(699757.79, 7020087.96)
01000455	P9-A	NON	2015	2015	c(616935, 7053820)
01000455	P9-A	NON	2016	2016	c(616935, 7053820)
01000455	P9-A	NON	2017	2017	c(616935, 7053820)
01000455	P9-A	NON	2018	2018	c(616935, 7053820)
01000455	P9-A	NON	2019	2019	c(616935, 7053820)
01000455	P9-A	NON	2020	2020	c(616935, 7053820)
01000455	P9-A	NON	2021	2021	c(616935, 7053820)
01000455	P9-A	NON	2022	2022	c(616935, 7053820)
01000455	P9-A	NON	2023	2023	c(616935, 7053820)
01000457	P9-A	NON	2013	2013	c(613802, 7048298)
01000457	P9-A	NON	2014	2014	c(613802, 7048298)
01000457	P9-A	NON	2015	2015	c(613802, 7048298)
01000457	P9-A	NON	2016	2016	c(613802, 7048298)
01000457	P9-A	NON	2017	2017	c(613802, 7048298)
01000457	P9-A	NON	2018	2018	c(613802, 7048298)
01000457	P9-A	NON	2019	2019	c(613802, 7048298)
01000477	P9	NON	1998	1998	c(610228.78, 7078879.91)
01000477	P9	NON	1999	1999	c(610228.78, 7078879.91)
01000477	P9	NON	2000	2000	c(610228.78, 7078879.91)
01000477	P9	NON	2001	2001	c(610228.78, 7078879.91)
01000477	P9	NON	2002	2002	c(610228.78, 7078879.91)
01000477	P9	NON	2003	2003	c(610228.78, 7078879.91)
01000477	P9	NON	2004	2004	c(610228.78, 7078879.91)
01000477	P9	NON	2005	2005	c(610228.78, 7078879.91)
01000477	P9	NON	2006	2006	c(610228.78, 7078879.91)
01000477	P9	NON	2007	2007	c(610228.78, 7078879.91)
01000477	P9	NON	2008	2008	c(610228.78, 7078879.91)
01000477	P9	NON	2009	2009	c(610228.78, 7078879.91)
01000477	P9	NON	2010	2010	c(610228.78, 7078879.91)
01000477	P9	NON	2011	2011	c(610228.78, 7078879.91)
01000477	P9	NON	2012	2012	c(610228.78, 7078879.91)
01000477	P9	NON	2013	2013	c(610228.78, 7078879.91)
01000477	P9	NON	2014	2014	c(610228.78, 7078879.91)
01000477	P9	NON	2015	2015	c(610228.78, 7078879.91)
01000477	P9	NON	2016	2016	c(610228.78, 7078879.91)
01000477	P9	NON	2017	2017	c(610228.78, 7078879.91)
01000477	P9	NON	2018	2018	c(610228.78, 7078879.91)
01000477	P9	NON	2019	2019	c(610228.78, 7078879.91)
01000477	P9	NON	2020	2020	c(610228.78, 7078879.91)
01000477	P9	NON	2021	2021	c(610228.78, 7078879.91)
01000477	P9	NON	2022	2022	c(610228.78, 7078879.91)
01000477	P9	NON	2023	2023	c(610228.78, 7078879.91)
01000477	P9	NON	2024	2024	c(610228.78, 7078879.91)
01000509	P20	NON	2016	2016	c(713335.73, 7054942.84)
01000509	P20	NON	2017	2017	c(713335.73, 7054942.84)
01000509	P20	NON	2018	2018	c(713335.73, 7054942.84)
01000509	P20	NON	2019	2019	c(713335.73, 7054942.84)
01000509	P20	NON	2020	2020	c(713335.73, 7054942.84)
01000509	P20	NON	2021	2021	c(713335.73, 7054942.84)
01000509	P20	NON	2022	2022	c(713335.73, 7054942.84)
01000602	P9-A	NON	2015	2015	c(700318.4, 6980033.6)
01000602	P9-A	NON	2016	2016	c(700318.4, 6980033.6)
01000602	P9-A	NON	2017	2017	c(700318.4, 6980033.6)
01000602	P9-A	NON	2018	2018	c(700318.4, 6980033.6)
01000602	P9-A	NON	2019	2019	c(700318.4, 6980033.6)
01000602	P9-A	NON	2020	2020	c(700318.4, 6980033.6)
01000602	P9-A	NON	2021	2021	c(700318.4, 6980033.6)
01000602	P9-A	NON	2022	2022	c(700318.4, 6980033.6)
