CODE_OPERATION;CODE_STATION;DATE;CODE_PAR;LIB_PAR;RESULTAT
010940002023080213;01094000;02/08/2023;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;12
011000002023080113;01100000;01/08/2023;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;16
031490812023062813;03149081;28/06/2023;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;16
031496302023062813;03149630;28/06/2023;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;20
031040002023062713;03104000;27/06/2023;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;19
030900102023062613;03090010;26/06/2023;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;20
031360002023062313;03136000;23/06/2023;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;7
031155252023062213;03115525;22/06/2023;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;17
031650202023062213;03165020;22/06/2023;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;15
031310002023062113;03131000;21/06/2023;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;19
031322602023062113;03132260;21/06/2023;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;15
031320002023062013;03132000;20/06/2023;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;19
031302702023062013;03130270;20/06/2023;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;16
031340002023061913;03134000;19/06/2023;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;13
031330002023061913;03133000;19/06/2023;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;18
031090002023061613;03109000;16/06/2023;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;17
031055002023061513;03105500;15/06/2023;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;16
031080982023061513;03108098;15/06/2023;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;19
031620002023061313;03162000;13/06/2023;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;16
031520002023061313;03152000;13/06/2023;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;20
031338502023061213;03133850;12/06/2023;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;9
031560002023061213;03156000;12/06/2023;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;12
030910002023060113;03091000;01/06/2023;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;20
011000002022090613;01100000;06/09/2022;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;16
031360002022090113;03136000;01/09/2022;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;12
031340002022083113;03134000;31/08/2022;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;14
031350002022083113;03135000;31/08/2022;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;12
031560002022083013;03156000;30/08/2022;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;15
031330002022083013;03133000;30/08/2022;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;18
031310002022082913;03131000;29/08/2022;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;19
031372902022082613;03137290;26/08/2022;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;13
031370002022082613;03137000;26/08/2022;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;8
