CODE_STATION	TYPO_NATIONALE	TG_BV	PERIODE_DEBUT	PERIODE_FIN	geometry
01000602	P9-A	NON	2015	2015	c(700318.4, 6980033.6)
01000602	P9-A	NON	2016	2016	c(700318.4, 6980033.6)
01000602	P9-A	NON	2017	2017	c(700318.4, 6980033.6)
01000602	P9-A	NON	2018	2018	c(700318.4, 6980033.6)
01000602	P9-A	NON	2019	2019	c(700318.4, 6980033.6)
01000602	P9-A	NON	2020	2020	c(700318.4, 6980033.6)
01000602	P9-A	NON	2021	2021	c(700318.4, 6980033.6)
01000602	P9-A	NON	2022	2022	c(700318.4, 6980033.6)
01000602	P9-A	NON	2023	2023	c(700318.4, 6980033.6)
01000605	P9-A	NON	2013	2013	c(700280, 6973340)
01000605	P9-A	NON	2014	2014	c(700280, 6973340)
01000605	P9-A	NON	2015	2015	c(700280, 6973340)
01000605	P9-A	NON	2016	2016	c(700280, 6973340)
01000605	P9-A	NON	2017	2017	c(700280, 6973340)
01000605	P9-A	NON	2018	2018	c(700280, 6973340)
01000605	P9-A	NON	2019	2019	c(700280, 6973340)
01000605	P9-A	NON	2020	2020	c(700280, 6973340)
01000605	P9-A	NON	2021	2021	c(700280, 6973340)
01000605	P9-A	NON	2022	2022	c(700280, 6973340)
01000605	P9-A	NON	2023	2023	c(700280, 6973340)
01000976	P9-A	NON	2016	2016	c(673123.75, 6985812.23)
01000976	P9-A	NON	2017	2017	c(673123.75, 6985812.23)
01000976	P9-A	NON	2018	2018	c(673123.75, 6985812.23)
01000976	P9-A	NON	2019	2019	c(673123.75, 6985812.23)
01000976	P9-A	NON	2020	2020	c(673123.75, 6985812.23)
01000976	P9-A	NON	2021	2021	c(673123.75, 6985812.23)
01000976	P9-A	NON	2022	2022	c(673123.75, 6985812.23)
01000976	P9-A	NON	2023	2023	c(673123.75, 6985812.23)
01000990	P9-A	NON	2016	2016	c(638742.69, 6994564.04)
01000990	P9-A	NON	2017	2017	c(638742.69, 6994564.04)
01000990	P9-A	NON	2018	2018	c(638742.69, 6994564.04)
01000990	P9-A	NON	2019	2019	c(638742.69, 6994564.04)
01000990	P9-A	NON	2020	2020	c(638742.69, 6994564.04)
01000990	P9-A	NON	2021	2021	c(638742.69, 6994564.04)
01000990	P9-A	NON	2022	2022	c(638742.69, 6994564.04)
01000990	P9-A	NON	2023	2023	c(638742.69, 6994564.04)
01002028	P9-A	NON	2015	2015	c(687572.37, 6953640.6)
01002033	P9-A	NON	2015	2015	c(644150.21, 6994786.95)
01002033	P9-A	NON	2016	2016	c(644150.21, 6994786.95)
01002033	P9-A	NON	2017	2017	c(644150.21, 6994786.95)
01002033	P9-A	NON	2018	2018	c(644150.21, 6994786.95)
01002033	P9-A	NON	2019	2019	c(644150.21, 6994786.95)
01002033	P9-A	NON	2020	2020	c(644150.21, 6994786.95)
